Word,POS_Tag
Bishweswor,NNP
Prasad,NNP
Koirala,NNP
BP,NNP
Memorial,NNP
Day,NNP
was,VBD
observed,VBN
week,NN
country,NN
highlighting,VBG
contribution,NN
Nepali,NNP
society,NN
politics,NNS
socialism,NN
formed,VBD
end,NN
spectrum,NN
was,VBD
genius,NN
was,VBD
spread,VBN
novels,NNS
stories,NNS
interviews,NNS
essays,NNS
is,VBZ
politicians,NNS
contributing,VBG
differing,VBG
ideologies,NNS
consider,VB
ace,NN
statesman,NN
Nepal,NNP
reigned,VBD
period,NN
year,NN
has,VBZ
left,VBN
mark,NN
minds,NNS
people,NNS
Nepal,NNP
is,VBZ
contrast,NN
politicians,NNS
have,VBP
managed,VBN
remain,VB
top,NN
decades,NNS
are,VBP
remembered,VBN
remembered,VBN
is,VBZ
deeds.On,VB
occasion,NN
Memorial,NNP
Day,NNP
brainchild,NN
Nepali,NNP
Congress,NNP
NC,NNP
institutions,NNS
organised,VBD
programmes,NNS
NC,NNP
President,NNP
Sher,NNP
Bahadur,NNP
Deuba,NNP
took,VBD
forest,NN
trees,NNS
stressing,VBG
BP,NNP
policy,NN
reconciliation,NN
is,VBZ
chapter,NN
book,NN
did,VBD
bother,VB
highlight,VB
socialism,NN
forms,VBZ
spine,NN
ideology,NN
fact,NN
BP,NNP
socialism,NN
is,VBZ
regarded,VBN
buried,VBN
handover,NN
industries,NNS
sector,NN
aspect,NN
dismissed,VBN
BP,NNP
concept,NN
socialism,NN
–,NNP
comparing,VBG
practice,NN
keeping,VBG
milch,NN
cow,NN
yard,NN
age,NN
mushrooming,VBG
dairies,NNS
–,NNP
has,VBZ
receded,VBN
contribution,NN
has,VBZ
begun,VBN
assert,VB
itself.This,NN
was,VBD
projected,VBN
programme,NN
week,NN
staged,VBN
Jana,NNP
Nayak,NNP
BP,NNP
Koirala,NNP
Memorial,NNP
Trust,NNP
BP,NNP
Trust,NNP
publishing,VBG
books,NNS
were,VBD
based,VBN
research,NN
carried,VBD
Professor,NNP
Hari,NNP
Prasad,NNP
Parajuli,NNP
seventies,NNS
Academy,NNP
promotes,VBZ
publication,NN
research,NN
made,VBN
BP,NNP
contribution,NN
books,NNS
featured,VBD
Dr.,NNP
Parajuli,NNP
dissertation,NN
focussing,VBG
endowment,NN
consisting,VBG
stories,NNS
revealed,VBD
BP,NNP
works,NNS
were,VBD
authored,VBN
Hindi,NNP
translated,VBD
Nepali,NNP
Whilst,NNP
BP,NNP
protégé,NN
President,NNP
Republic,NNP
Nepal,NNP
Ram,NNP
Baran,NNP
Yadav,NNP
had,VBD
graced,VBN
programme,NN
guest,NN
