Entity,Entity_Type
Memorial Day,DATE
last week,DATE
Nepali,GPE
Nepal,GPE
Nepal,GPE
decades,DATE
the Nepali Congress (NC,ORG
one,CARDINAL
NC,GPE
Sher Bahadur Deuba,PERSON
BP,ORG
BP,ORG
BP,ORG
last week,DATE
Jana Nayak BP Koirala Memorial Trust,ORG
BP Trust,ORG
two,CARDINAL
Hari Prasad Parajuli,PERSON
the seventies,DATE
Academy,ORG
BP,ORG
One,CARDINAL
Parajuli,PERSON
BP,ORG
Hindi,GPE
Nepali,GPE
BP,ORG
first,ORDINAL
Republic Nepal Ram Baran Yadav,ORG
Academy,ORG
NC,GPE
Ram Chandra Pokharel,PERSON
Chandra Gautam,PERSON
Parajuli,PERSON
Gautam,PERSON
Panchayat,ORG
Parajuli,PERSON
Gautam,GPE
Freudian,NORP
BP,ORG
Freud,PERSON
three,CARDINAL
BP,ORG
Doshi Chasma,ORG
The Defective Spectacles,WORK_OF_ART
Keshabraj,ORG
one,CARDINAL
Keshabraj,ORG
Keshabraj,ORG
Sakhi,ORG
Chandrakumari,NORP
Chandrakumari,PERSON
BP,ORG
Bhupi Sherchan's,PERSON
Nepali,GPE
Nepal,PERSON
first,ORDINAL
1960,DATE
1990,DATE
NC,GPE
